id,departamento,salario,idade
1,Diretoria,12067.08,58
2,Marketing,13607.61,43
3,Diretoria,6666.01,35
4,Marketing,5177.48,40
5,Diretoria,6237.82,63
6,TI,4105.13,50
7,Vendas,4893.63,31
8,Diretoria,9429.68,41
9,Diretoria,11149.23,55
10,Engenharia,4862.86,43
11,RH,7252.08,44
12,Engenharia,13529.09,59
13,Vendas,10593.61,45
14,Engenharia,3633.44,40
15,RH,6359.2,60
16,RH,9814.02,55
17,Engenharia,10970.18,48
18,Engenharia,12633.63,48
19,RH,7074.02,64
20,RH,4373.23,51
21,TI,11789.75,59
22,Marketing,4326.02,60
23,TI,6871.64,56
24,Engenharia,10147.43,42
25,Marketing,4533.3,34
26,RH,11883.89,20
27,Engenharia,4764.31,59
28,TI,9988.26,31
29,Vendas,3295.41,52
30,Engenharia,5032.74,47
31,Diretoria,11571.68,32
32,Vendas,11847.09,37
33,Engenharia,12644.81,56
34,Engenharia,3510.07,59
35,Diretoria,6107.02,51
36,Diretoria,10332.33,55
37,RH,7689.53,38
38,TI,10035.0,39
39,Vendas,9890.51,22
40,Marketing,7440.6,49
41,Diretoria,14966.35,29
42,RH,9526.81,24
43,RH,3488.18,40
44,Engenharia,3156.95,58
45,Diretoria,11194.21,50
46,RH,13878.34,23
47,Vendas,4848.43,41
48,Engenharia,12506.32,56
49,Diretoria,11306.41,57
50,TI,5228.64,32
51,Marketing,13830.63,64
52,Diretoria,10798.73,60
53,RH,6305.31,33
54,Vendas,11752.88,45
55,Engenharia,6273.75,59
56,RH,5607.4,48
57,TI,10526.99,38
58,TI,13565.91,50
59,Diretoria,11330.94,44
60,Diretoria,12118.14,31
61,Engenharia,8348.78,32
62,Engenharia,8092.08,55
63,RH,7720.89,61
64,Diretoria,11720.54,44
65,RH,14362.25,51
66,TI,9720.07,57
67,Engenharia,4291.44,62
68,TI,14453.87,32
69,RH,12220.25,56
70,Marketing,3195.53,49
71,Marketing,4001.56,50
72,TI,10723.0,47
73,RH,12835.37,58
74,Marketing,14134.7,53
75,TI,10943.14,37
76,Engenharia,7679.04,32
77,RH,14531.97,36
78,Vendas,12364.57,45
79,Engenharia,11582.29,31
80,Diretoria,11901.16,51
81,Diretoria,9849.05,42
82,Marketing,12632.7,58
83,Diretoria,14091.49,34
84,Marketing,11170.04,45
85,TI,11922.75,59
86,Marketing,8755.54,60
87,Engenharia,10935.92,30
88,TI,6453.2,34
89,RH,10256.07,61
90,Marketing,4685.61,38
91,Diretoria,14193.22,52
92,RH,10501.43,49
93,Engenharia,11927.1,36
94,RH,13024.91,59
95,RH,3077.03,27
96,Diretoria,12729.96,57
97,TI,6064.96,23
98,Diretoria,8868.1,31
99,RH,3524.21,26
100,Marketing,10681.26,63
101,TI,13856.59,34
102,TI,6359.63,64
103,Engenharia,9850.37,23
104,Vendas,13600.3,41
105,TI,3942.14,26
106,Engenharia,5073.58,21
107,Marketing,12514.49,55
108,RH,11283.02,58
109,Diretoria,9796.63,36
110,Vendas,14601.17,40
111,Diretoria,5739.38,20
112,Engenharia,6031.73,37
113,Vendas,5877.94,55
114,Vendas,10869.05,55
115,Marketing,14960.03,29
116,Diretoria,4403.7,48
117,Engenharia,10396.23,20
118,Engenharia,7240.81,60
119,Vendas,5996.77,60
120,Marketing,3265.73,41
121,RH,7636.55,35
122,Vendas,13612.78,54
123,Engenharia,12856.88,42
124,Engenharia,4802.25,36
125,Marketing,3064.13,44
126,Marketing,11459.51,52
127,RH,14485.52,62
128,Diretoria,10767.75,47
129,Engenharia,12730.16,45
130,TI,3273.69,62
131,Vendas,8847.66,22
132,Diretoria,12120.99,39
133,Diretoria,4029.61,24
134,Engenharia,4140.49,38
135,Vendas,6107.62,46
136,RH,8641.64,40
137,RH,13276.12,25
138,Marketing,7103.69,34
139,Diretoria,5580.21,62
140,Diretoria,5297.0,42
141,Diretoria,4475.56,63
142,Vendas,5552.18,28
143,TI,4811.02,42
144,Diretoria,14063.57,32
145,RH,3688.33,55
146,Vendas,6190.6,48
147,TI,3453.45,43
148,TI,5228.4,22
149,Engenharia,7527.23,50
150,Diretoria,10478.7,35
151,Engenharia,9739.82,40
152,TI,3240.38,59
153,RH,10846.57,21
154,Diretoria,14302.78,26
155,Engenharia,9737.47,54
156,Diretoria,6351.39,23
157,Diretoria,6270.61,22
158,Diretoria,4207.65,55
159,TI,4733.35,58
160,Marketing,8370.49,36
161,RH,12534.61,31
162,TI,4447.11,33
163,Vendas,12286.33,45
164,Engenharia,14530.72,52
165,Marketing,11995.17,24
166,TI,12052.78,58
167,Vendas,11482.83,47
168,TI,8362.91,39
169,Marketing,12163.77,59
170,Marketing,4783.26,35
171,RH,7886.68,35
172,Vendas,3689.67,22
173,Vendas,13365.3,57
174,Diretoria,3042.44,54
175,Vendas,4233.87,37
176,RH,6378.99,31
177,Engenharia,8285.11,56
178,RH,12522.8,33
179,Engenharia,13086.47,64
180,RH,9003.64,62
181,Vendas,12974.25,56
182,Marketing,8116.73,61
183,RH,11019.04,40
184,RH,9611.12,22
185,Engenharia,7213.42,45
186,Diretoria,14949.09,29
187,RH,4491.54,60
188,Engenharia,12723.02,45
189,Diretoria,4029.09,57
190,Vendas,12086.19,44
191,Diretoria,11096.89,33
192,Marketing,10032.63,47
193,Engenharia,12653.88,53
194,Engenharia,12156.86,59
195,Vendas,3237.68,33
196,TI,9297.71,44
197,Vendas,12236.49,29
198,Diretoria,13381.03,46
199,Diretoria,7363.38,27
200,RH,4443.86,50
201,RH,8169.93,53
202,Engenharia,5568.7,55
203,Marketing,14547.62,38
204,RH,3062.13,32
205,Diretoria,13872.95,50
206,Marketing,7600.58,33
207,Vendas,6122.69,60
208,Vendas,5236.93,46
209,Marketing,9336.52,57
210,Diretoria,9112.22,38
